Order_ID,Date,Region,Category,Product,Quantity,Unit_Price,Discount(%),Sales,Profit,Payment_Mode
1001,2024-10-29,East,Electronics,Laptop,2,2128,5,4043.2,999.86,UPI
1002,2024-10-14,North,Sports,Football,1,2091,5,1986.45,399.42,UPI
1003,2024-12-23,South,Fashion,Jacket,4,2578,0,10312.0,2596.16,Card
1004,2024-02-19,East,Sports,Tennis Racket,2,2063,10,3713.4,447.25,Net Banking
1005,2024-02-10,East,Home,Lamp,1,4063,20,3250.4,406.19,Net Banking
1006,2024-05-28,East,Books,Comics,5,1875,0,9375.0,1023.42,Card
1007,2024-03-24,North,Electronics,Mobile,4,2577,15,8761.8,1990.13,Cash on Delivery
1008,2024-03-24,South,Home,Lamp,3,884,20,2121.6,481.59,Card
1009,2024-04-27,East,Sports,Gym Bag,5,2099,10,9445.5,2536.78,UPI
1010,2024-04-18,West,Electronics,Headphones,3,842,5,2399.7,678.22,Cash on Delivery
1011,2024-10-26,West,Sports,Gym Bag,2,2469,5,4691.1,700.5,Cash on Delivery
1012,2024-02-26,East,Sports,Gym Bag,2,1433,20,2292.8,455.59,UPI
1013,2024-09-27,West,Fashion,Jeans,5,820,15,3485.0,614.49,Net Banking
1014,2024-03-21,North,Home,Chair,5,2485,10,11182.5,1367.74,Net Banking
1015,2024-11-23,East,Sports,Football,5,1763,20,7052.0,1992.37,Cash on Delivery
1016,2024-11-02,South,Books,Biography,3,1623,20,3895.2,1132.33,UPI
1017,2024-10-17,North,Home,Sofa,1,3273,10,2945.7,435.64,Card
1018,2024-10-08,West,Electronics,Laptop,1,4663,5,4429.85,556.74,Net Banking
1019,2024-12-09,West,Fashion,Shoes,2,4717,5,8962.3,2174.16,Net Banking
1020,2024-10-28,West,Home,Sofa,1,2330,5,2213.5,249.69,UPI
1021,2024-06-18,South,Books,Biography,1,881,0,881.0,128.44,UPI
1022,2024-05-04,East,Electronics,Mobile,4,2055,20,6576.0,831.62,Net Banking
1023,2024-08-27,South,Sports,Gym Bag,1,1094,15,929.9,158.88,Net Banking
1024,2024-10-01,North,Electronics,Laptop,4,3079,0,12316.0,1844.09,Card
1025,2024-08-14,West,Sports,Cricket Bat,2,2581,15,4387.7,657.99,UPI
1026,2024-03-26,North,Books,Novel,5,420,0,2100.0,599.07,Card
1027,2024-07-18,West,Sports,Gym Bag,2,3585,0,7170.0,953.09,UPI
1028,2024-04-21,East,Home,Sofa,4,4852,15,16496.8,2160.41,Cash on Delivery
1029,2024-01-30,East,Electronics,Laptop,1,710,20,568.0,110.96,Card
1030,2024-10-23,South,Books,Novel,1,856,5,813.2,146.99,Card
1031,2024-04-14,North,Books,Novel,4,4930,20,15776.0,2575.81,Cash on Delivery
1032,2024-01-05,East,Home,Table,4,1372,10,4939.2,945.58,UPI
1033,2024-02-05,North,Sports,Football,5,2046,20,8184.0,1252.48,Cash on Delivery
1034,2024-12-07,East,Fashion,Shoes,2,3889,20,6222.4,1497.78,UPI
1035,2024-05-19,North,Books,Comics,2,2466,0,4932.0,1370.81,Card
1036,2024-02-17,East,Home,Table,2,2462,20,3939.2,778.8,UPI
1037,2024-03-23,North,Sports,Tennis Racket,1,3032,5,2880.4,655.07,Cash on Delivery
1038,2024-10-25,North,Sports,Gym Bag,1,916,5,870.2,181.97,Cash on Delivery
1039,2024-07-02,West,Books,Biography,2,642,10,1155.6,199.84,UPI
1040,2024-05-01,North,Fashion,Jeans,3,4886,15,12459.3,3672.6,Card
1041,2024-12-08,West,Fashion,Jeans,1,1769,10,1592.1,408.34,Net Banking
1042,2024-04-12,South,Fashion,Shoes,1,3433,0,3433.0,932.81,Card
1043,2024-06-17,East,Sports,Tennis Racket,2,2126,0,4252.0,986.49,Net Banking
1044,2024-01-15,East,Home,Chair,3,4473,15,11406.15,2690.75,Cash on Delivery
1045,2024-06-25,South,Electronics,Headphones,5,2474,0,12370.0,1505.19,Net Banking
1046,2024-01-01,North,Home,Sofa,4,1857,10,6685.2,727.87,Net Banking
1047,2024-06-02,East,Books,Biography,4,873,10,3142.8,705.97,UPI
1048,2024-08-03,West,Books,Comics,3,3596,10,9709.2,2047.5,Card
1049,2024-08-08,East,Sports,Cricket Bat,4,4788,0,19152.0,3079.16,Card
1050,2024-12-03,West,Books,Comics,4,3922,5,14903.6,3014.03,Card
1051,2024-03-16,East,Electronics,Headphones,1,2224,10,2001.6,290.09,Card
1052,2024-12-22,South,Electronics,Laptop,4,896,15,3046.4,557.15,Card
1053,2024-08-05,West,Sports,Gym Bag,2,1508,0,3016.0,840.05,UPI
1054,2024-08-21,West,Fashion,Jeans,1,4866,5,4622.7,1310.51,UPI
1055,2024-03-22,East,Fashion,Jacket,4,4435,15,15079.0,4012.73,Net Banking
1056,2024-05-20,East,Sports,Gym Bag,2,2571,20,4113.6,810.05,Card
1057,2024-03-11,East,Sports,Football,2,2525,10,4545.0,745.12,UPI
1058,2024-10-04,West,Fashion,Jeans,2,2052,0,4104.0,750.92,Cash on Delivery
1059,2024-10-21,North,Sports,Gym Bag,2,3741,15,6359.7,1786.87,UPI
1060,2024-10-02,North,Sports,Gym Bag,3,2746,15,7002.3,1895.45,Net Banking
1061,2024-06-21,West,Books,Biography,2,2535,15,4309.5,849.52,Net Banking
1062,2024-02-12,West,Sports,Cricket Bat,2,4675,0,9350.0,2630.96,UPI
1063,2024-08-20,West,Sports,Cricket Bat,2,711,10,1279.8,225.02,Card
1064,2024-01-10,West,Home,Lamp,3,3753,10,10133.1,2705.36,Net Banking
1065,2024-04-12,East,Books,Novel,2,862,0,1724.0,432.46,Card
1066,2024-08-26,South,Electronics,Mobile,2,4179,0,8358.0,1778.53,Card
1067,2024-10-23,South,Home,Lamp,5,1238,5,5880.5,1722.66,UPI
1068,2024-02-22,West,Electronics,Headphones,4,1924,0,7696.0,1680.96,Card
1069,2024-09-16,North,Home,Chair,3,4664,15,11893.2,2762.84,UPI
1070,2024-12-28,West,Home,Chair,4,1164,15,3957.6,1156.24,Net Banking
1071,2024-08-26,South,Fashion,Jacket,5,2512,20,10048.0,2628.96,Net Banking
1072,2024-08-25,East,Sports,Tennis Racket,2,1009,10,1816.2,501.86,Card
1073,2024-06-30,East,Books,Dictionary,1,4349,10,3914.1,533.76,Card
1074,2024-02-13,East,Home,Lamp,5,2563,20,10252.0,1046.01,Card
1075,2024-08-17,West,Fashion,Jacket,5,2268,15,9639.0,2209.07,Net Banking
1076,2024-08-30,East,Electronics,Laptop,2,3612,5,6862.8,1106.57,Cash on Delivery
1077,2024-06-05,West,Books,Comics,5,3009,10,13540.5,3257.45,Cash on Delivery
1078,2024-04-08,North,Home,Table,2,2884,0,5768.0,1433.79,Card
1079,2024-04-09,East,Fashion,Jacket,5,4597,20,18388.0,2879.56,UPI
1080,2024-05-20,East,Home,Table,2,2776,0,5552.0,1341.38,Card
1081,2024-08-28,East,Electronics,Laptop,2,4321,0,8642.0,2372.61,Cash on Delivery
1082,2024-02-28,East,Sports,Gym Bag,2,720,10,1296.0,373.52,Net Banking
1083,2024-02-13,West,Electronics,Smart Watch,1,739,5,702.05,91.15,Cash on Delivery
1084,2024-06-01,West,Fashion,Shirt,5,2148,20,8592.0,1512.84,Net Banking
1085,2024-04-16,East,Books,Dictionary,5,793,20,3172.0,926.29,UPI
1086,2024-01-02,North,Fashion,Shoes,2,2264,5,4301.6,905.05,Card
1087,2024-12-25,West,Sports,Gym Bag,3,567,5,1615.95,254.71,Cash on Delivery
1088,2024-11-27,South,Sports,Football,3,1920,15,4896.0,601.99,Card
